timestamp,elapsed_ms,event,seq_num,detail,rtt_ms,size_bytes
1777647883.7184,76.59,ACK,72,rtt=1.894ms,1.894,
1777647883.719,77.18,ACK,73,rtt=2.123ms,2.123,
1777647883.7196,77.76,ACK,74,rtt=2.273ms,2.273,
1777647883.7202,78.36,SENT,77,size=1024B,,1024
1777647883.7206,78.79,SENT,78,size=1024B,,1024
1777647883.7211,79.23,SENT,79,size=1024B,,1024
1777647883.7216,79.73,ACK,75,rtt=3.776ms,3.776,
1777647883.7222,80.34,ACK,76,rtt=2.058ms,2.058,
1777647883.7228,80.97,SENT,80,size=1024B,,1024
1777647883.7234,81.57,SENT,81,size=1024B,,1024
1777647883.7238,82.0,ACK,77,rtt=3.22ms,3.22,
1777647883.7242,82.39,ACK,78,rtt=3.187ms,3.187,
1777647883.7246,82.74,ACK,79,rtt=1.913ms,1.913,
1777647883.7251,83.28,SENT,82,size=1024B,,1024
1777647883.7257,83.89,SENT,83,size=1024B,,1024
1777647883.7264,84.58,SENT,84,size=1024B,,1024
1777647883.7269,85.08,ACK,80,rtt=3.517ms,3.517,
1777647883.7273,85.5,ACK,81,rtt=2.316ms,2.316,
1777647883.7277,85.89,ACK,82,rtt=2.185ms,2.185,
1777647883.7282,86.35,SENT,85,size=1024B,,1024
1777647883.7286,86.81,SENT,86,size=1024B,,1024
1777647883.7291,87.31,SENT,87,size=1024B,,1024
1777647883.7296,87.79,ACK,83,rtt=3.318ms,3.318,
1777647883.73,88.17,ACK,84,rtt=1.841ms,1.841,
1777647883.7305,88.68,ACK,85,rtt=1.815ms,1.815,
1777647883.731,89.12,ACK,86,rtt=1.911ms,1.911,
1777647883.7314,89.57,SENT,88,size=1024B,,1024
1777647883.7319,90.02,SENT,89,size=1024B,,1024
1777647883.7325,90.7,SENT,90,size=1024B,,1024
1777647883.7334,91.55,SENT,91,size=1024B,,1024
1777647883.734,92.12,ACK,87,rtt=2.516ms,2.516,
1777647883.7346,92.77,ACK,88,rtt=2.681ms,2.681,
1777647883.7352,93.42,SENT,92,size=1024B,,1024
1777647883.736,94.16,SENT,93,size=1024B,,1024
1777647883.7368,94.94,ACK,89,rtt=4.305ms,4.305,
1777647883.7372,95.41,ACK,90,rtt=3.951ms,3.951,
1777647883.7378,95.92,ACK,91,rtt=2.567ms,2.567,
1777647883.7384,96.52,SENT,94,size=1024B,,1024
1777647883.7389,97.05,SENT,95,size=1024B,,1024
1777647883.7394,97.59,SENT,96,size=1024B,,1024
1777647883.74,98.18,ACK,92,rtt=4.114ms,4.114,
1777647883.7405,98.68,ACK,93,rtt=2.281ms,2.281,
1777647883.741,99.13,ACK,94,rtt=2.12ms,2.12,
1777647883.7416,99.72,SENT,97,size=1024B,,1024
1777647883.7422,100.33,SENT,98,size=672B,,672
1777647883.7427,100.86,ACK,95,rtt=3.29ms,3.29,
1777647883.7432,101.41,ACK,96,rtt=1.717ms,1.717,
1777647883.7438,101.98,ACK,97,rtt=1.692ms,1.692,
